onset	duration	sample	value
0.0000000000	n/a	0	boundary
6.8500000000	1.0000000000	3425	S  1
7.4140000000	1.0000000000	3707	S  2
8.9540000000	1.0000000000	4477	S  1
9.2780000000	1.0000000000	4639	S  2
10.8080000000	1.0000000000	5404	S  1
11.4140000000	1.0000000000	5707	S  2
12.9540000000	1.0000000000	6477	S  1
13.5100000000	1.0000000000	6755	S  2
15.0460000000	1.0000000000	7523	S  1
15.6000000000	1.0000000000	7800	S  2
17.1380000000	1.0000000000	8569	S  1
17.6140000000	1.0000000000	8807	S  2
19.1520000000	1.0000000000	9576	S  1
19.4540000000	1.0000000000	9727	S  2
20.9900000000	1.0000000000	10495	S  1
21.6140000000	1.0000000000	10807	S  2
23.1500000000	1.0000000000	11575	S  1
23.6460000000	1.0000000000	11823	S  2
25.1760000000	1.0000000000	12588	S  1
25.5340000000	1.0000000000	12767	S  2
27.0680000000	1.0000000000	13534	S  1
27.5500000000	1.0000000000	13775	S  2
29.0820000000	1.0000000000	14541	S  1
29.4940000000	1.0000000000	14747	S  2
31.0280000000	1.0000000000	15514	S  1
31.5820000000	1.0000000000	15791	S  2
33.1200000000	1.0000000000	16560	S  1
33.6060000000	1.0000000000	16803	S  2
35.1460000000	1.0000000000	17573	S  1
35.7660000000	1.0000000000	17883	S  2
37.3060000000	1.0000000000	18653	S  1
37.7660000000	1.0000000000	18883	S  2
39.3040000000	1.0000000000	19652	S  1
39.8460000000	1.0000000000	19923	S  2
41.3840000000	1.0000000000	20692	S  1
41.8700000000	1.0000000000	20935	S  2
43.4100000000	1.0000000000	21705	S  1
43.8940000000	1.0000000000	21947	S  2
45.4360000000	1.0000000000	22718	S  1
45.7900000000	1.0000000000	22895	S  2
47.3300000000	1.0000000000	23665	S  1
47.7740000000	1.0000000000	23887	S  2
49.3160000000	1.0000000000	24658	S  1
49.6860000000	1.0000000000	24843	S  2
51.2220000000	1.0000000000	25611	S  1
51.6060000000	1.0000000000	25803	S  2
53.1400000000	1.0000000000	26570	S  1
53.5100000000	1.0000000000	26755	S  2
55.0460000000	1.0000000000	27523	S  1
55.6140000000	1.0000000000	27807	S  2
57.1520000000	1.0000000000	28576	S  1
57.6780000000	1.0000000000	28839	S  2
59.2180000000	1.0000000000	29609	S  1
59.7980000000	1.0000000000	29899	S  2
61.3380000000	1.0000000000	30669	S  1
61.8300000000	1.0000000000	30915	S  2
63.3640000000	1.0000000000	31682	S  1
63.8620000000	1.0000000000	31931	S  2
65.4040000000	1.0000000000	32702	S  1
65.9260000000	1.0000000000	32963	S  2
67.4560000000	1.0000000000	33728	S  1
67.8860000000	1.0000000000	33943	S  2
69.4160000000	1.0000000000	34708	S  1
69.9980000000	1.0000000000	34999	S  2
71.5340000000	1.0000000000	35767	S  1
72.0940000000	1.0000000000	36047	S  2
73.6280000000	1.0000000000	36814	S  1
74.1500000000	1.0000000000	37075	S  2
75.6800000000	1.0000000000	37840	S  1
76.1340000000	1.0000000000	38067	S  2
77.6660000000	1.0000000000	38833	S  1
78.1260000000	1.0000000000	39063	S  2
79.6660000000	1.0000000000	39833	S  1
80.1340000000	1.0000000000	40067	S  2
81.6660000000	1.0000000000	40833	S  1
82.2140000000	1.0000000000	41107	S  2
83.7440000000	1.0000000000	41872	S  1
84.1580000000	1.0000000000	42079	S  2
85.6900000000	1.0000000000	42845	S  1
86.1820000000	1.0000000000	43091	S  2
87.7160000000	1.0000000000	43858	S  1
88.1420000000	1.0000000000	44071	S  2
89.6760000000	1.0000000000	44838	S  1
90.0940000000	1.0000000000	45047	S  2
91.6360000000	1.0000000000	45818	S  1
92.0300000000	1.0000000000	46015	S  2
93.5680000000	1.0000000000	46784	S  1
94.0780000000	1.0000000000	47039	S  2
95.6080000000	1.0000000000	47804	S  1
96.1260000000	1.0000000000	48063	S  2
97.6600000000	1.0000000000	48830	S  1
98.0860000000	1.0000000000	49043	S  2
99.6200000000	1.0000000000	49810	S  1
100.0940000000	1.0000000000	50047	S  2
101.6320000000	1.0000000000	50816	S  1
102.0860000000	1.0000000000	51043	S  2
103.6180000000	1.0000000000	51809	S  1
104.0860000000	1.0000000000	52043	S  2
105.6180000000	1.0000000000	52809	S  1
106.0220000000	1.0000000000	53011	S  2
107.5500000000	1.0000000000	53775	S  1
108.0060000000	1.0000000000	54003	S  2
109.5360000000	1.0000000000	54768	S  1
110.0860000000	1.0000000000	55043	S  2
111.6160000000	1.0000000000	55808	S  1
112.0940000000	1.0000000000	56047	S  2
113.6280000000	1.0000000000	56814	S  1
114.0140000000	1.0000000000	57007	S  2
115.5480000000	1.0000000000	57774	S  1
116.0300000000	1.0000000000	58015	S  2
117.5600000000	1.0000000000	58780	S  1
118.0220000000	1.0000000000	59011	S  2
119.5600000000	1.0000000000	59780	S  1
120.1260000000	1.0000000000	60063	S  2
121.6660000000	1.0000000000	60833	S  1
122.1500000000	1.0000000000	61075	S  2
123.6920000000	1.0000000000	61846	S  1
124.1100000000	1.0000000000	62055	S  2
125.6520000000	1.0000000000	62826	S  1
126.2060000000	1.0000000000	63103	S  2
127.7440000000	1.0000000000	63872	S  1
128.1260000000	1.0000000000	64063	S  2
129.6640000000	1.0000000000	64832	S  1
130.1420000000	1.0000000000	65071	S  2
131.6760000000	1.0000000000	65838	S  1
132.1520000000	1.0000000000	66076	S  2
133.6900000000	1.0000000000	66845	S  1
134.2380000000	1.0000000000	67119	S  2
135.7680000000	1.0000000000	67884	S  1
136.3580000000	1.0000000000	68179	S  2
137.9020000000	1.0000000000	68951	S  1
138.4540000000	1.0000000000	69227	S  2
139.9940000000	1.0000000000	69997	S  1
140.4780000000	1.0000000000	70239	S  2
142.0200000000	1.0000000000	71010	S  1
142.5180000000	1.0000000000	71259	S  2
144.0600000000	1.0000000000	72030	S  1
144.4620000000	1.0000000000	72231	S  2
145.9920000000	1.0000000000	72996	S  1
146.3500000000	1.0000000000	73175	S  2
147.8840000000	1.0000000000	73942	S  1
148.2540000000	1.0000000000	74127	S  2
149.7900000000	1.0000000000	74895	S  1
150.3020000000	1.0000000000	75151	S  2
151.8440000000	1.0000000000	75922	S  1
152.4160000000	1.0000000000	76208	S  2
153.9500000000	1.0000000000	76975	S  1
154.3820000000	1.0000000000	77191	S  2
155.9220000000	1.0000000000	77961	S  1
156.5740000000	1.0000000000	78287	S  2
158.1080000000	1.0000000000	79054	S  1
158.5740000000	1.0000000000	79287	S  2
160.1080000000	1.0000000000	80054	S  1
160.5660000000	1.0000000000	80283	S  2
162.1080000000	1.0000000000	81054	S  1
162.4540000000	1.0000000000	81227	S  2
163.9860000000	1.0000000000	81993	S  1
164.2940000000	1.0000000000	82147	S  2
165.8260000000	1.0000000000	82913	S  1
166.3260000000	1.0000000000	83163	S  2
167.8660000000	1.0000000000	83933	S  1
168.3180000000	1.0000000000	84159	S  2
169.8520000000	1.0000000000	84926	S  1
170.5180000000	1.0000000000	85259	S  2
172.0500000000	1.0000000000	86025	S  1
172.7580000000	1.0000000000	86379	S  2
174.2900000000	1.0000000000	87145	S  1
174.6540000000	1.0000000000	87327	S  2
176.1820000000	1.0000000000	88091	S  1
176.7660000000	1.0000000000	88383	S  2
178.3020000000	1.0000000000	89151	S  1
178.6760000000	1.0000000000	89338	S  2
180.2080000000	1.0000000000	90104	S  1
180.7320000000	1.0000000000	90366	S  2
182.2740000000	1.0000000000	91137	S  1
182.7500000000	1.0000000000	91375	S  2
184.2860000000	1.0000000000	92143	S  1
184.7420000000	1.0000000000	92371	S  2
186.2720000000	1.0000000000	93136	S  1
186.7820000000	1.0000000000	93391	S  2
188.3120000000	1.0000000000	94156	S  1
188.7420000000	1.0000000000	94371	S  2
190.2720000000	1.0000000000	95136	S  1
190.7400000000	1.0000000000	95370	S  2
192.2720000000	1.0000000000	96136	S  1
192.6760000000	1.0000000000	96338	S  2
194.2180000000	1.0000000000	97109	S  1
194.6780000000	1.0000000000	97339	S  2
196.2160000000	1.0000000000	98108	S  1
196.6700000000	1.0000000000	98335	S  2
198.2020000000	1.0000000000	99101	S  1
198.6540000000	1.0000000000	99327	S  2
211.8260000000	1.0000000000	105913	S  1
212.8260000000	1.0000000000	106413	S  2
214.3700000000	1.0000000000	107185	S  1
214.9260000000	1.0000000000	107463	S  2
216.4640000000	1.0000000000	108232	S  1
216.9880000000	1.0000000000	108494	S  2
218.5300000000	1.0000000000	109265	S  1
218.9480000000	1.0000000000	109474	S  2
220.4900000000	1.0000000000	110245	S  1
220.8540000000	1.0000000000	110427	S  2
222.3960000000	1.0000000000	111198	S  1
222.8600000000	1.0000000000	111430	S  2
224.3940000000	1.0000000000	112197	S  1
224.7020000000	1.0000000000	112351	S  2
226.2340000000	1.0000000000	113117	S  1
226.9240000000	1.0000000000	113462	S  2
